,author,title,sent_complexity,avg_sent_complex,stdev_sent_complex
34,,The Tale of Peter Rabbit,"[9, 10, 12, 4, 10, 7, 9, 9, 10, 13, 12, 15, 15, 12, 8, 20, 8, 17, 18, 18, 11, 9, 7, 17, 12, 7, 7, 11, 11, 11, 11, 12, 10, 7, 8, 11, 9, 13, 14, 10, 7, 8, 10, 9, 13, 9, 12, 11, 11, 15, 12, 11, 15, 9, 12, 7, 4]",10.859649122807017,3.3162999699846636
35, Munro Leaf,The Story of Ferdinand,"[9, 9, 10, 7, 11, 9, 12, 10, 6, 7, 12, 12, 10, 11, 9, 16, 12, 15, 19, 13, 9, 13, 12, 7, 10, 4, 5, 7, 13, 10, 8, 7, 9, 7, 7, 4, 4, 8, 7, 11, 13, 13, 13, 13, 5, 16, 20, 5, 12, 9, 6, 18, 9, 12, 6, 5]",9.928571428571429,3.7314165390311365
36, P.D. Eastman,Are You My Mother?,"[7, 5, 6, 6, 7, 10, 11, 5, 9, 5, 5, 6, 6, 6, 5, 7, 6, 7, 6, 7, 9, 5, 6, 5, 6, 6, 7, 8, 10, 7, 7, 7, 5, 7, 6, 7, 7, 7, 5, 7, 6, 6, 6, 6, 10, 5, 7, 6, 7, 7, 5, 7, 6, 10, 6, 6, 6, 6, 7, 5, 7, 7, 6, 7, 6, 6, 6, 11, 8, 9, 5, 6, 6, 5, 6, 6, 5, 6, 6, 6, 6, 7, 6, 8, 6, 6, 6, 9, 6, 6, 6, 7, 7, 5, 6, 7, 5, 7, 7, 7, 10, 6, 10, 7, 6, 6, 6, 7, 6, 11, 8, 7, 6, 6, 9, 6, 5, 7, 6, 7, 8, 7, 13, 6, 6, 6, 6, 9, 7]",6.713178294573644,1.479544233456263
37, Kevin Henkes,Chrysanthemum ,"[9, 10, 6, 5, 6, 12, 11, 5, 5, 6, 7, 12, 13, 14, 14, 5, 17, 18, 14, 5, 9, 6, 7, 6, 5, 6, 6, 12, 9, 8, 11, 8, 5, 10, 9, 7, 15, 10, 5, 13, 7, 17, 9, 5, 6, 5, 6, 9, 6, 7, 9, 9, 7, 6, 14, 6, 13, 9, 6, 7, 8, 7, 5, 12, 12, 13, 5, 10, 9, 7, 9, 10, 13, 7, 17, 8, 4, 6, 4, 6, 9, 10, 10, 6, 6, 6, 11, 6, 10, 14, 9, 6, 11, 8, 7, 9, 9, 8, 11, 9, 15, 6, 9, 11, 7, 8, 8, 8, 12, 8, 6, 6, 11, 5, 10, 9, 8, 7, 6, 6, 9, 8, 11, 8, 11, 7, 6, 11, 7, 7, 8, 7, 6, 7, 6, 4, 10, 10, 7, 5, 5, 5, 5, 7, 9, 10, 9, 10, 6, 7, 7, 8, 10, 7, 6]",8.406451612903226,2.9264021159835303
38, Adam Rubin,Dragons Love Tacos,"[5, 9, 6, 6, 7, 8, 8, 6, 12, 7, 5, 7, 8, 8, 9, 7, 9, 7, 13, 4, 4, 13, 10, 8, 6, 6, 8, 7, 6, 6, 12, 15, 13, 6, 11, 11, 6, 8, 7, 9, 12, 6, 6, 6, 6, 4, 11, 4, 4, 11, 8, 8, 6, 8, 11, 5, 6, 4, 4, 4, 4, 4, 9, 6, 10, 7, 6]",7.507462686567164,2.6675111902483644
39, Alice Schertle,Little Blue Truck Leads the Way,"[7, 5, 8, 7, 5, 5, 5, 7, 6, 6, 6, 7, 6, 6, 7, 6, 6, 8, 6, 6, 5, 4, 5, 6, 6, 10, 5, 5, 4, 8, 5, 7, 11, 10, 6, 6, 8, 8, 6, 6, 6, 4, 6, 12, 5, 7, 9, 8, 6, 6, 8, 10, 10, 10, 12, 8, 8, 10, 6, 6, 7, 11, 8, 10]",7.015625,1.9644670675211127
40, Laura Joffe Numeroff,If You Give a Mouse a Cookie,"[13, 8, 10, 24, 10, 12, 13, 7, 10, 9, 12, 14, 10, 11, 16, 21, 10, 8, 13, 13, 12, 14, 10, 5, 4, 4, 12, 15]",11.428571428571429,4.313008325557294
41, Dr. Seuss,"Oh, the Places You’ll Go","[4, 6, 7, 6, 8, 8, 10, 7, 8, 13, 8, 8, 14, 12, 17, 8, 8, 11, 10, 6, 6, 8, 4, 5, 8, 8, 13, 12, 9, 9, 8, 8, 6, 11, 10, 7, 9, 9, 11, 10, 8, 10, 6, 8, 10, 9, 9, 6, 6, 8, 4, 4, 6, 5, 8, 12, 19, 5, 4, 4, 8, 15, 6, 14, 6, 4, 7, 11, 11, 13, 6, 10, 9, 10, 10, 10, 11, 4, 13, 8, 6, 12, 11, 5, 12, 16, 22, 10, 7, 7, 12, 7, 11, 12, 11, 9, 10, 9, 8, 5, 4, 6, 7, 8, 5, 4, 4, 9, 6, 6, 5, 4, 4, 7]",8.491228070175438,3.311981476225552
42, Watty Piper,The Little Engine That Could,"[6, 6, 8, 7, 11, 9, 10, 11, 11, 6, 15, 10, 6, 14, 12, 10, 16, 8, 6, 12, 17, 8, 5, 14, 7, 8, 7, 12, 10, 6, 11, 19, 8, 12, 8, 8, 9, 7, 6, 6, 8, 6, 11, 9, 6, 11, 19, 8, 7, 9, 5, 5, 6, 10, 12, 8, 11, 7, 6, 6, 7, 15, 6, 7, 8, 9, 19, 6, 11, 7, 7, 12, 16, 8, 8, 8, 8, 9]",9.26923076923077,3.4106660636930752
43, Margaret Wise Brown,Goodnight Moon,"[8, 19]",13.5,5.5
44, Bill Martin,Chicka Chicka Boom Boom,"[14, 6, 13, 10, 5, 6, 13, 5, 6, 9, 4, 6, 5, 5, 5, 7, 6, 5, 8, 7, 13, 9, 8, 6, 6, 7, 6, 5, 9, 8, 7, 7, 4, 4, 6, 6, 13, 12, 5]",7.333333333333333,2.804148331177911
45, Joanna Cole,I’m a Big Sister,"[7, 8, 6, 6, 6, 7, 7, 9, 9, 9, 8, 9, 10, 8, 6, 6, 7, 8, 6, 9, 5, 9, 13, 13, 8, 7, 8, 8, 7, 6, 8, 6, 6, 8, 8, 6, 6, 8, 8, 8]",7.675,1.6939229616484925
46, Dr. Seuss,Green Eggs and Ham,"[6, 5, 7, 7, 11, 6, 11, 7, 6, 7, 7, 7, 11, 7, 7, 8, 8, 7, 7, 7, 8, 7, 7, 6, 6, 6, 6, 7, 7, 7, 8, 6, 6, 6, 6, 6, 5, 7, 7, 6, 8, 7, 6, 7, 8, 8, 8, 8, 7, 7, 7, 8, 4, 4, 4, 4, 7, 6, 6, 6, 5, 6, 7, 7, 8, 8, 7, 7, 7, 8, 5, 6, 6, 7, 6, 7, 7, 6, 6, 6, 6, 8, 6, 6, 6, 6, 7, 7, 7, 8, 7, 7, 7, 7, 7, 8, 8, 6, 6, 6, 7, 8, 8, 8, 8, 7, 8, 7, 8, 7, 5, 6, 6, 5, 9, 5, 10, 6, 5, 7, 5, 7, 8, 8, 4, 4, 8, 7, 6, 7, 7, 9, 8, 8, 8, 8, 7, 5, 8, 7, 6, 7]",6.823943661971831,1.2520366269146785
47, H.A. Ray,Curious George Takes a Job,"[6, 7, 7, 14, 9, 12, 6, 7, 7, 11, 9, 17, 7, 8, 16, 9, 9, 8, 12, 10, 18, 12, 8, 12, 9, 7, 6, 7, 6, 6, 13, 4, 4, 8, 13, 10, 8, 10, 8, 7, 11, 15, 9, 16, 7, 7, 11, 7, 10, 10, 14, 10, 4, 4, 9, 7, 10, 13, 9, 7, 14, 8, 8, 12, 8, 8, 8, 7, 6, 9, 11, 9, 8, 6, 4, 4, 6, 9, 10, 12, 9, 8, 8, 12, 7, 6, 8, 7, 8, 8, 6, 6, 8, 7, 5, 12, 4, 4, 8, 5, 13, 10, 9, 12, 7, 12, 6, 7, 10, 6, 4, 4, 8, 6, 7, 10, 10, 19, 10, 13, 14, 10, 11, 8, 9, 12, 17, 8, 14, 9, 11, 13, 6, 14, 12, 7, 9, 7, 10, 4]",8.985714285714286,3.1486634676721263
48, Mo Willems,The Pigeon Finds a Hot Dog!,"[5, 4, 5, 5, 5, 5, 4, 4, 6, 8, 5, 5, 4, 4, 6, 9, 4, 4, 4, 7, 6, 6, 6, 13, 4, 4, 6, 6, 6, 6, 5, 6, 5, 4, 4, 10, 6, 5, 4, 4, 8, 4, 4, 7, 6, 6, 6, 6, 4, 4, 4, 6, 8, 6, 8, 5, 5, 9, 9, 12, 7, 5, 4, 4, 5]",5.707692307692308,1.9193194060000853
49, Penny Dale,Dinosaur Rescue,"[7, 6, 7, 5, 5, 5, 5, 5, 7, 5, 5, 5, 5, 10, 10, 5, 5, 5, 5, 9, 10, 6, 6, 6, 4, 7, 10, 5, 5, 5, 5, 7, 10, 5, 5, 5, 5, 5, 5, 5, 5, 8, 4, 4, 5, 4, 4, 4, 5, 9, 9, 5, 5, 5, 6, 6, 7, 5, 5, 5, 6, 7, 5, 5, 5, 5, 6, 6, 4, 4, 11, 5, 5, 5]",5.824324324324325,1.6954478648372828
50, David Shannon,Duck on a Bike,"[7, 11, 5, 13, 8, 8, 5, 6, 7, 8, 13, 7, 5, 6, 7, 13, 7, 6, 5, 6, 6, 6, 9, 6, 5, 6, 6, 10, 8, 6, 5, 6, 8, 6, 12, 10, 5, 6, 5, 4, 6, 17, 7, 5, 6, 8, 12, 8, 5, 6, 6, 9, 8, 5, 6, 6, 11, 8, 12, 8, 6, 6, 7, 5, 5, 7, 11, 4]",7.323529411764706,2.5749995800718573
51, Gene Zion,Harry the Dirty Dog,"[10, 4, 4, 6, 11, 4, 4, 7, 7, 11, 8, 8, 9, 9, 16, 10, 10, 11, 4, 4, 6, 10, 10, 7, 8, 6, 11, 9, 10, 10, 7, 8, 15, 6, 9, 16, 7, 10, 5, 6, 6, 6, 6, 6, 5, 7, 9, 10, 13, 16]",8.34,3.1407642382070002
52, Jane Yolen & Mark Teague,How Do Dinosaurs Say Good Night?,"[13, 6, 6, 14, 5, 13, 7, 6, 13, 9, 6, 6, 6, 6, 7, 8, 7, 4, 5]",7.7368421052631575,3.0408119632956403
53, Kevin Henkes,Lilly’s Purple Plastic Purse,"[6, 6, 6, 9, 8, 4, 7, 6, 8, 6, 7, 6, 7, 10, 6, 6, 10, 6, 8, 11, 12, 11, 14, 5, 6, 10, 11, 7, 8, 6, 8, 6, 14, 11, 7, 10, 6, 13, 8, 6, 8, 8, 7, 7, 7, 10, 6, 5, 7, 4, 4, 11, 16, 7, 4, 4, 10, 14, 7, 8, 10, 12, 6, 13, 9, 7, 6, 6, 9, 7, 10, 8, 9, 7, 7, 6, 7, 6, 6, 15, 8, 5, 12, 5, 6, 6, 11, 9, 9, 8, 6, 6, 6, 7, 11, 7, 6, 7, 6, 9, 6, 9, 8, 4, 4, 8, 5, 14, 10, 13, 11, 6, 6, 15, 22, 6, 6, 8, 8, 7, 12, 9, 8, 6, 7, 10, 11, 8, 7, 4, 4, 9, 6, 6, 5, 5, 6, 7, 6, 6, 6, 11, 8, 9, 6, 10, 12, 16, 16, 7, 8, 8, 6, 7, 6, 6, 6, 10, 10, 6, 12, 7, 9, 6, 7, 11, 10, 6, 10, 9, 12, 6, 6, 10, 6, 9, 8, 6, 5, 5, 5, 4, 4, 14, 13, 7, 5, 5, 10, 7, 9, 8, 9, 16, 4, 4, 5, 5, 19, 4, 4, 6, 6, 7]",7.96078431372549,3.017665532693264
54, Anna Dewdney,Llama Llama Red Pajama,"[8, 6, 6, 7, 6, 7, 7, 9, 6, 9, 8, 8, 7, 6, 8, 4, 4, 4, 6, 6, 7, 8, 6, 6, 7, 6, 4, 4, 8, 8, 5, 5, 6, 6, 9, 9, 9, 8, 4, 4, 8]",6.560975609756097,1.5934129727864463
55, Lucy Cousins,Maisy Goes to the Library,"[9, 11, 11, 7, 8, 7, 11, 6, 7, 8, 9, 5, 6, 7, 10, 6, 10, 6, 8, 6, 6, 5, 12, 4, 4, 6, 13, 7, 10, 5, 6, 5, 6, 5, 13, 10, 5, 8, 5, 5, 7]",7.439024390243903,2.4399998049560585
56, Ian Falconer,Olivia,"[6, 10, 10, 6, 8, 6, 11, 9, 9, 10, 10, 13, 10, 6, 10, 14, 10, 14, 7, 10, 7, 7, 7, 9, 11, 9, 5, 8, 7, 8, 6, 8, 6, 6, 5, 6, 14, 8, 10]",8.615384615384615,2.434952583283756
57, Stan & Jan Berenstain,The Berenstain Bears Forget Their Manners,"[10, 12, 12, 8, 9, 9, 15, 5, 4, 4, 6, 12, 10, 6, 7, 7, 16, 10, 9, 12, 5, 9, 5, 10, 7, 9, 7, 9, 9, 9, 4, 4, 7, 4, 4, 7, 4, 4, 6, 4, 4, 7, 4, 4, 7, 4, 4, 5, 4, 4, 6, 4, 4, 8, 4, 4, 6, 4, 4, 16, 12, 12, 9, 12, 5, 6, 8, 21, 11, 6, 9, 9, 6, 8, 13, 6, 6, 21, 8, 6, 13, 22, 6, 20, 7, 6, 4, 4, 9, 7, 7, 5, 15, 9, 11, 8, 10, 4, 4, 10, 6, 14, 8, 7, 14, 6, 6, 11, 13, 9, 11, 14, 14, 12, 13, 10, 16, 10, 14, 7, 7, 8, 10, 7, 4, 4, 4, 4, 4, 16, 6, 5, 5, 8, 4, 8, 7, 10, 10, 17, 11, 19, 9]",8.34965034965035,4.093759093316102
58, Jon Klassen,This is Not My Hat,"[6, 6, 7, 9, 8, 12, 16, 14, 10, 11, 10, 7, 10, 13, 8, 13, 11, 10, 8, 7, 5, 6, 6, 13, 7]",9.32,2.9081953166869656
59, Mercer Mayer,There’s an Alligator Under My Bed,"[11, 15, 7, 4, 4, 6, 10, 6, 8, 10, 9, 11, 9, 7, 7, 8, 6, 11, 7, 7, 7, 9, 7, 10, 13, 7]",8.307692307692308,2.523264533362573
60, Eric Carle,The Very Hungry Caterpillar,"[8, 9, 10, 7, 6, 8, 8, 8, 8, 10, 6, 6, 11, 10, 6, 8, 8, 10, 4, 4, 6]",7.666666666666667,1.9107050140703694
61, Mo Willems,Knuffle Bunny,"[9, 4, 8, 10, 10, 5, 6, 4, 4, 6, 9, 10, 8, 6, 5, 5, 5, 5, 9, 6, 4, 4, 4, 6, 15, 9, 12, 6, 7, 8, 8, 5, 4, 4, 5, 4, 4, 5, 4, 4, 11, 4, 10, 5, 4, 4, 4, 9]",6.395833333333333,2.635807777302603
62, David Soman and Jacky Davis,Ladybug Girl at the Beach,"[6, 8, 7, 6, 12, 14, 11, 12, 9, 7, 14, 6, 7, 9, 10, 12, 5, 4, 4, 9, 9, 8, 7, 11, 8, 13, 11, 12, 6, 13, 9, 8, 7, 11, 11, 10, 4, 4, 4, 7, 9, 7, 9, 9, 8, 11, 6, 6, 7, 8, 9, 7, 5, 16, 8, 10, 11, 5, 5, 14, 8, 9, 10, 7, 15, 11, 8, 6, 10, 6, 6, 6, 10, 7, 7, 10, 8, 9, 8, 10, 7, 10, 8, 11, 9, 6, 9, 8, 8, 7, 10, 8, 10, 8, 5, 8, 9]",8.525773195876289,2.548873951922043
63, Philip C. Stead,A Sick Day for Amos McGee,"[6, 8, 11, 8, 7, 9, 10, 12, 39, 8, 8, 17, 6, 4, 4, 7, 6, 7, 7, 9, 11, 6, 5, 4, 4, 4, 5, 6, 8, 9, 11, 12, 7, 7, 9, 10, 12, 7, 8, 6, 8, 10, 7, 7, 7, 7, 18]",8.680851063829786,5.3479221774550805
64, Jonathan London,Froggy Goes to Bed,"[6, 9, 12, 6, 6, 6, 8, 5, 6, 7, 7, 5, 7, 6, 11, 4, 7, 6, 7, 6, 7, 9, 7, 11, 6, 7, 6, 11, 4, 7, 6, 7, 6, 7, 9, 7, 6, 6, 6, 10, 6, 6, 11, 4, 7, 6, 7, 6, 7, 9, 7, 6, 6, 6, 12, 6, 6, 10, 4, 5, 7, 5, 8, 10, 8, 6, 6, 12, 8, 6, 8, 4, 4, 7, 10, 6, 8, 6, 6, 9, 7, 10, 12, 6, 10, 6, 9, 7, 6, 6, 4, 4, 8, 5, 7, 6, 10, 5, 6, 6, 4, 4, 7, 6, 5, 5, 4, 4, 5, 4, 4, 5, 4, 4, 10, 6, 10, 5, 9]",6.7899159663865545,2.053379872430179
65, Victoria Kann,Goldilicious,"[10, 12, 6, 8, 11, 6, 12, 8, 8, 13, 6, 13, 13, 5, 8, 6, 12, 5, 19, 10, 9, 12, 7, 6, 8, 7, 9, 11, 9, 8, 10, 7, 5, 9, 5, 11, 10, 9, 6, 7, 6, 4, 4, 9, 5, 11, 13, 10, 20, 7, 7, 9, 12, 7, 7, 7, 8, 6, 12, 9, 7, 6, 7, 5, 6, 20, 11, 7, 9, 11, 7, 21, 6, 12, 6, 15, 10, 10, 5, 11]",9.0125,3.5584187148226385
66, Lucy Cousins,Maisy Goes Camping,"[9, 6, 9, 7, 6, 4, 6, 6, 4, 4, 5, 4, 4, 8, 5, 7, 8, 7, 6, 6, 6, 6, 9, 6, 7, 6, 8, 6, 4, 6, 4, 4, 6, 6, 6, 6, 5, 5, 6, 5, 6, 5, 6, 5, 6, 7, 5, 4, 4]",5.836734693877551,1.360476188775425
67, Ian Falconer,Olivia. . . and the Missing Toy,"[9, 4, 4, 8, 10, 9, 12, 8, 4, 13, 6, 9, 8, 5, 6, 13, 10, 10, 6, 6, 9, 7, 7, 7, 6, 6, 6, 6, 6, 8, 14, 14, 6, 10, 7, 10, 6, 9, 5, 4, 4, 4, 10, 6, 6, 6, 10, 11, 12, 6, 12, 8, 6, 7, 7, 10, 5, 7, 7]",7.745762711864407,2.627063968813229
68, Anna Dewdney ,Llama llama home with mama,"[5, 7, 6, 5, 5, 5, 11, 11, 6, 4, 4, 7, 6, 5, 6, 6, 10, 6, 6, 6, 5, 8, 5, 6, 6, 6, 5, 5, 8, 7, 6, 6, 7, 8, 6, 6, 11, 6, 8, 7, 10, 7, 6, 4, 4, 7, 6, 8, 7, 6, 8, 4, 9, 6, 6, 6, 6, 6, 8, 9, 4, 4, 7]",6.4603174603174605,1.7166356615359712
69, Jason Carter Eaton,How to Train a Train,"[6, 6, 9, 16, 5, 7, 7, 9, 8, 7, 11, 5, 9, 12, 7, 10, 8, 5, 12, 4, 4, 9, 8, 10, 7, 17, 12, 4, 10, 4, 12, 11, 9, 11, 5, 5, 5, 12, 5, 8, 12, 7, 9, 10, 10, 8, 4, 4, 7, 13, 7, 13, 14, 8, 8, 8, 9, 6, 6, 4, 4, 9, 14, 4, 4, 13, 7, 6, 14, 10, 12, 10, 4, 16, 10, 5, 8]",8.415584415584416,3.2924575329851065
70, James Dean,Pete the Cat: The Wheels on the Bus,"[7, 7, 7, 8, 7, 9, 7, 7, 7, 7, 7, 7, 9, 6, 6, 9, 5, 9, 7, 7, 9, 5, 9, 7, 8, 10, 5, 7, 7, 8, 8, 8, 7, 9, 6, 11, 11, 5, 7, 7, 5, 5]",7.357142857142857,1.509043035951507
